sale_date,service_station_id,service_station_name,product,total_litres,total_amount
2020-03-09,,Runiville Forecourt,PETROL,0.27,5.0
2020-03-09,,Trek Forecourt,DIESEL,0.48,9.0
2020-03-09,,Trek Forecourt,PETROL,0.27,5.0
2020-03-12,,Runiville,DIESEL,0.27,5.0
2020-03-12,,Runiville,PETROL,0.27,5.0
2020-03-16,,Charter,DIESEL,0.01,0.2
2020-03-16,,Charter,PETROL,0.01,0.2
2020-03-16,,Graniteside,DIESEL,0.0,0.02
2020-03-16,,Graniteside,PETROL,0.01,0.2
2020-03-16,,Samora,PETROL,0.05,1.0
2020-03-17,,Chinhamo,DIESEL,0.04,0.6
2020-03-17,,Chinhamo,PETROL,0.01,0.2
2020-03-17,,Kambuzuma,DIESEL,0.03,0.45
2020-03-17,,Kambuzuma,PETROL,0.01,0.2
2020-03-17,,Kirkman,DIESEL,0.02,0.3
2020-03-17,,Kirkman,PETROL,0.03,0.45
2020-03-17,,Runiville,PETROL,0.53,10.0
2020-03-17,,Snake Park,DIESEL,0.03,0.4
2020-03-17,,Snake Park,PETROL,0.02,0.37
2020-03-17,,Tynwald,DIESEL,0.01,0.15
2020-03-17,,Tynwald,PETROL,0.03,0.5
2020-03-18,,Ford,DIESEL,0.04,0.6
2020-03-18,,Ford,PETROL,0.02,0.3
2020-03-18,,Msasa,DIESEL,0.02,0.3
2020-03-18,,Msasa,PETROL,0.02,0.35
2020-03-18,,Roadport,DIESEL,0.03,0.35
2020-03-18,,Roadport,PETROL,0.02,0.3
2020-03-18,,Snake Park,PETROL,0.0,0.02
2020-03-19,,Kambuzuma,DIESEL,0.01,0.1
2020-03-19,,Kambuzuma,PETROL,0.01,0.1
2020-03-19,,Marondera,DIESEL,0.01,0.2
2020-03-19,,Marondera,PETROL,0.02,0.25
2020-03-19,,Mutare,DIESEL,0.01,0.15
2020-03-19,,Mutare,PETROL,0.03,0.5
2020-03-19,,Roadport,PETROL,0.01,0.1
2020-03-21,,Chinhoyi,DIESEL,0.01,0.2
2020-03-21,,Chinhoyi,PETROL,0.03,0.3
2020-03-23,,Ford,PETROL,0.01,0.1
2020-03-23,,Marondera,DIESEL,0.01,0.1
2020-03-23,,Marondera,PETROL,0.01,0.1
2020-03-23,,Mutare,PETROL,0.01,0.1
2020-03-24,,Marondera,DIESEL,0.01,0.1
2020-03-24,,Marondera,PETROL,0.01,0.1
2020-03-25,,Gweru,DIESEL,0.01,0.11
2020-03-25,,Gweru,PETROL,0.01,0.1
2020-03-25,,Kwekwe,DIESEL,0.02,0.4
2020-03-25,,Kwekwe,PETROL,0.01,0.2
2020-03-26,,Fife Street,DIESEL,0.01,0.1
2020-03-26,,Fife Street,PETROL,0.03,0.3
2020-03-26,,Fort Street,DIESEL,0.01,0.2
2020-03-26,,Fort Street,PETROL,0.03,0.46
2020-03-26,,Khami,DIESEL,0.01,0.2
2020-03-26,,Khami,PETROL,0.02,0.3
2020-03-26,,Main Street,PETROL,0.02,0.4
2020-03-26,,Mpopoma,DIESEL,0.01,0.2
2020-03-26,,Mpopoma,PETROL,0.02,0.2
2020-03-26,,R Mugabe,DIESEL,0.01,0.2
2020-03-26,,R Mugabe,PETROL,0.03,0.5
2020-04-08,,Pomona,PETROL,5.35,100.0
2020-04-09,,,,0.0,4650.0
2020-04-09,,Avondale,PETROL,4.59,100.0
2020-04-09,,Graniteside,PETROL,4.59,100.0
2020-04-09,,Msasa,PETROL,9.18,200.0
2020-04-09,,Samora,PETROL,4.59,100.0
2020-04-12,,,,0.0,30429.49
2020-04-12,,Msasa,DIESEL,1414.01,30429.49
2020-04-13,,,,0.0,21520.0
2020-04-13,,Msasa,DIESEL,896.46,19291.85
2020-04-17,,,,0.0,148874.68
2020-04-17,,Msasa,DIESEL,825.54,17765.61
