sale_date,site_id,site_name,product,total_litres,total_amount
2024-11-21,157,Hatfield,HATFIELD USD PETROL,20.13422818791946,30.0
2025-02-25,160,Zaka ,ZAKA USD PETROL,808.1632653061225,1188.0
2025-02-02,135,Cripps,CRIPPS DIESEL USD,308.84353741496597,454.0
2024-04-11,92,Msasa,MSASA USD PETROL,1199.3243243243244,1775.0
2024-01-18,145,Sunway City,SUNWAY USD DIESEL,1767.6829268292684,2899.0
2024-05-05,127,Mpopoma,MPOPOMA USD DIESEL,365.5844155844155,563.0
2024-03-13,121,Gweru,GWERU USD PETROL,383.2258064516129,594.0
2025-01-20,102,Kirkman,KIRKMAN BULK DIESEL USD,477.46478873239437,678.0
2024-10-02,96,Samora,SAMORA USD PETROL TAXIS,1093.1034482758623,1585.0
2024-08-10,140,Mutare Second Street,MUTARE SECOND USD BULK DIESEL,152.77777777777777,220.0
2024-03-31,131,R Mugabe,R MUGABE USD DIESEL,524.6753246753246,808.0
2024-07-25,112,Marondera,MARONDERA USD PETROL,173.97260273972603,254.0
2024-08-18,147,Chinhoyi Main,CHI-QUARTZ 5000 20W50 500ML,1.0,3.0
2024-05-25,112,Marondera, MARONDERA PETROL TAXIS,941.3793103448269,1365.0
2024-08-19,110,Mutare Green Market,MGM-RACE BRAKEFLUID DOT4+ 500ML,1.0,4.0
2023-12-28,135,Cripps,CRIPPS DIESEL USD,886.25,1418.0
2024-09-17,140,Mutare Second Street,MUTARE SECOND USD PETROL,2927.857142857143,4099.0
2023-03-16,84,Avondale,AVONDALE USD PETROL,1465.4320987654316,2374.0
2023-11-26,123,Fife Street,FIFE USD PETROL,1433.5483870967755,2222.0
2024-12-31,129,Khami,KHAMI USD PETROL,796.3666666666666,1194.55
2024-10-16,88,Seke,SEK-QUARTZ 3000 SG 20W50 500ML,2.0,6.0
2024-02-22,110,Mutare Green Market,MUTARE GREENMARKET USD PETROL,933.3333333333333,1344.0
2024-09-11,129,Khami,KHAMI USD DIESEL,1733.591917808219,2531.04
2024-07-15,96,Samora,SAM-RUBIA TIR 7400 15W40 500ML,2.0,6.0
2024-07-24,112,Marondera,MARONDERA USD DIESEL,245.13888888888889,353.0
2023-11-11,150,Mutare One Stop,MUTARE ONE STOP DIESEL,1193.125,1909.0
2024-09-26,129,Khami,KHAMI USD DIESEL,155.40540540540542,230.0
2024-05-08,92,Msasa,MSASA USD PETROL,551.6339869281046,844.0
2024-10-04,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,2885.2348993288592,4299.0
2024-03-23,131,R Mugabe,R MUGABE USD PETROL,720.6451612903229,1117.0
2024-07-26,121,Gweru,GWERU BULK DIESEL USD,890.6666666666667,1336.0
2024-10-27,92,Msasa,MSA- SWIFTEX BATTERY-616C,1.0,70.0
2024-02-22,82,Runiville,RUNIVILLE USD DIESEL,424.2424242424243,700.0
2024-01-27,149,Turnpike,TURNPIKE USD DIESEL,889.375,1423.0
2024-11-06,146,Banket,BANKET DIESEL CASH DISCOUNT,2000.0,2860.0
2024-06-28,125,Fort Street,FORT USD PETROL,258.7837837837838,383.0
2024-05-16,147,Chinhoyi Main,CHINHOYI MAIN USD DIESEL,1201.2903225806451,1862.0
2024-01-26,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,1482.185430463576,2238.1
2024-11-08,112,Marondera, MARONDERA PETROL TAXIS,1469.2857142857144,2057.0
2024-10-11,114,Kadoma,KADOMA USD PETROL,1297.9310344827586,1882.0
2025-01-01,149,Turnpike,15W40 500ML,3.3333333333333335,10.0
2024-05-15,140,Mutare Second Street,MUTARE SECOND USD DIESEL,38.96103896103896,60.0
2025-02-04,131,R Mugabe,R MUGABE USD PETROL,139.58333333333334,201.0
2024-07-29,102,Kirkman,KIR-RUBIA SX SAE40 500ML,2.0,6.0
2023-11-26,125,Fort Street,FORT USD PETROL,344.51612903225805,534.0
2024-06-17,112,Marondera,MAR-NEPTUNA 2T SUPER SPORT 500ML,1.0,4.0
2024-10-15,82,Runiville,RUN-RUBIA TIR 7400 15W40 500ML,1.0,3.0
2024-01-05,141,Troutbeck,TROUTBECK USD DIESEL,319.8795180722892,531.0
2024-04-27,92,Msasa,MSASA USD UNLEADED PETROL,1089.937106918239,1733.0
2025-01-02,160,Zaka ,ZAKA USD DIESEL,598.0263157894736,909.0
2025-03-13,149,Turnpike,15W40 500ML,1.0,3.0
2024-11-04,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,2834.2281879194634,4223.0
2024-08-31,150,Mutare One Stop,MUTARE ONE STOP DIESEL,396.65999999999997,594.98
2025-01-10,149,Turnpike,5W40 500ML,1.6666666666666667,5.0
2024-10-30,96,Samora,SAMORA USD PETROL,611.4093959731543,911.0
2025-01-27,160,Zaka ,ZAKA USD DIESEL,247.6510067114094,369.0
2023-11-17,146,Banket,BANKET USD PETROL,711.5384615384205,1110.0
2024-09-09,125,Fort Street,FORT USD PETROL,25.0,36.0
2024-07-13,86,Charter,CHA-RUBIA SX SAE40 500ML,1.0,3.0
2024-11-29,146,Banket,BANKET DIESEL CASH DISCOUNT,1000.0,1430.0
2024-12-08,127,Mpopoma,MPOPOMA USD DIESEL,2087.837837837838,3090.0
