sale_date,service_station_id,service_station_name,product,total_litres,total_amount
2025-09-02,82,Runiville,PETROL,20.0,30.4
2025-09-03,98,Roadport,PETROL,20.0,30.8
2025-09-04,135,Cripps,PETROL,40.0,59.2
2025-09-05,98,Roadport,PETROL,20.0,30.8
2025-09-05,146,Banket,DIESEL,100.0,145.0
2025-09-06,88,Seke,PETROL,20.0,30.0
2025-09-06,121,Gweru,DIESEL,60.0,87.6
2025-09-07,96,Samora,PETROL,20.0,30.2
2025-09-07,98,Roadport,PETROL,20.0,30.8
2025-09-08,98,Roadport,PETROL,20.0,30.8
2025-09-08,135,Cripps,PETROL,20.0,29.6
2025-09-09,84,Avondale,PETROL,20.0,30.0
2025-09-09,96,Samora,PETROL,20.0,30.2
2025-09-09,146,Banket,DIESEL,20.0,29.0
2025-09-10,82,Runiville,PETROL,20.0,30.4
2025-09-10,84,Avondale,PETROL,20.0,30.0
2025-09-10,92,Msasa,PETROL,20.0,30.8
2025-09-10,98,Roadport,PETROL,20.0,30.8
2025-09-10,135,Cripps,PETROL,20.0,29.6
2025-09-10,146,Banket,DIESEL,20.0,29.0
2025-09-11,121,Gweru,DIESEL,20.0,29.2
2025-09-12,96,Samora,PETROL,20.0,30.2
2025-09-12,98,Roadport,PETROL,20.0,30.8
2025-09-12,146,Banket,DIESEL,200.0,290.4
2025-09-13,102,Kirkman,PETROL,40.0,60.8
2025-09-13,121,Gweru,DIESEL,40.0,58.4
2025-09-13,121,Gweru,PETROL,40.0,60.0
2025-09-14,131,R Mugabe,DIESEL,40.0,60.0
2025-09-14,147,Chinhoyi Main,PETROL,20.0,30.6
2025-09-15,98,Roadport,PETROL,40.0,61.6
2025-09-16,98,Roadport,PETROL,20.0,30.8
2025-09-16,146,Banket,DIESEL,20.0,29.2
2025-09-17,82,Runiville,PETROL,20.0,30.4
2025-09-17,92,Msasa,PETROL,20.0,30.8
2025-09-17,98,Roadport,PETROL,20.0,30.8
2025-09-18,88,Seke,PETROL,20.0,30.0
2025-09-18,121,Gweru,DIESEL,120.0,175.2
2025-09-18,145,Sunway City,PETROL,20.0,30.2
2025-09-19,146,Banket,DIESEL,3040.0,4438.4
2025-09-20,82,Runiville,PETROL,20.0,30.4
2025-09-20,84,Avondale,PETROL,20.0,30.0
2025-09-20,135,Cripps,PETROL,40.0,59.2
2025-09-20,146,Banket,DIESEL,80.0,116.8
2025-09-20,147,Chinhoyi Main,PETROL,20.0,30.6
2025-09-21,84,Avondale,DIESEL,20.0,30.0
2025-09-22,146,Banket,DIESEL,100.0,146.0
2025-09-23,82,Runiville,PETROL,20.0,30.4
2025-09-23,146,Banket,DIESEL,40.0,58.4
2025-09-24,82,Runiville,PETROL,20.0,30.4
2025-09-24,84,Avondale,PETROL,20.0,30.0
2025-09-24,98,Roadport,PETROL,40.0,61.6
2025-09-25,149,Turnpike,PETROL,40.0,60.8
2025-09-26,84,Avondale,PETROL,40.0,60.0
2025-09-26,146,Banket,DIESEL,100.0,146.0
2025-09-27,84,Avondale,PETROL,20.0,30.0
2025-09-27,135,Cripps,PETROL,20.0,29.6
2025-09-28,84,Avondale,PETROL,40.0,60.0
2025-09-29,82,Runiville,PETROL,20.0,30.4
2025-09-29,84,Avondale,PETROL,20.0,30.0
2025-09-29,131,R Mugabe,DIESEL,20.0,30.0
2025-09-30,96,Samora,PETROL,20.0,30.4
2025-09-30,145,Sunway City,PETROL,20.0,30.4
2025-10-01,146,Banket,DIESEL,60.0,87.6
2025-10-01,147,Chinhoyi Main,DIESEL,20.0,29.4
2025-10-02,84,Avondale,PETROL,20.0,30.4
2025-10-02,88,Seke,PETROL,20.0,30.0
2025-10-03,82,Runiville,PETROL,20.0,30.4
2025-10-03,84,Avondale,PETROL,20.0,30.4
2025-10-03,135,Cripps,PETROL,20.0,29.6
2025-10-03,146,Banket,DIESEL,140.0,204.4
2025-10-03,147,Chinhoyi Main,DIESEL,20.0,29.4
2025-10-05,82,Runiville,PETROL,20.0,30.4
2025-10-05,84,Avondale,PETROL,20.0,30.4
2025-10-05,98,Roadport,PETROL,20.0,30.8
2025-10-06,84,Avondale,DIESEL,20.0,30.0
