barcode,booklet_number,activation_date_local,company_name,coupon_status
ADD-2503-0000503,BDD-2503-0000021,2025-11-15 12:04:45,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ADD-2503-0000505,BDD-2503-0000021,2025-11-15 12:04:45,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ADD-2503-0000676,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000677,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000678,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000679,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000680,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000681,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000682,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000683,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000684,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000685,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000686,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000687,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000688,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000689,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000690,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000691,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000692,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000693,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000694,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000695,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000696,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000697,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000698,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000699,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000700,BDD-2503-0000028,2025-10-30 19:05:42,Banket Town Board,ACTIVE
ADD-2503-0000716,BDD-2503-0000029,2025-10-30 19:03:23,Banket Town Board,ACTIVE
ADD-2503-0000717,BDD-2503-0000029,2025-10-30 19:03:23,Banket Town Board,ACTIVE
ADD-2503-0000718,BDD-2503-0000029,2025-10-30 19:03:23,Banket Town Board,ACTIVE
ADD-2503-0000738,BDD-2503-0000030,2025-10-30 19:02:47,Banket Town Board,ACTIVE
ADD-2503-0000750,BDD-2503-0000030,2025-10-30 19:02:47,Banket Town Board,ACTIVE
ADD-2503-0000756,BDD-2503-0000031,2025-10-28 16:29:36,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ADD-2503-0001334,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001335,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001336,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001337,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001338,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001339,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001340,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001341,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001342,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001343,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001344,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001345,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001346,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001347,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001348,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001349,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001350,BDD-2503-0000054,2025-10-06 12:23:59,Livestock Identification Trust,ACTIVE
ADD-2503-0001371,BDD-2503-0000055,2025-09-24 11:11:12,Track It Pvt Ltd,ACTIVE
ADD-2503-0001372,BDD-2503-0000055,2025-09-24 11:11:12,Track It Pvt Ltd,ACTIVE
ADD-2503-0001373,BDD-2503-0000055,2025-09-24 11:11:12,Track It Pvt Ltd,ACTIVE
ADD-2503-0001374,BDD-2503-0000055,2025-09-24 11:11:12,Track It Pvt Ltd,ACTIVE
ADD-2503-0001375,BDD-2503-0000055,2025-09-24 11:11:12,Track It Pvt Ltd,ACTIVE
ABD-2503-0002581,BBD-2503-0000104,2025-09-25 16:12:49,Sharon School,ACTIVE
ABD-2503-0002585,BBD-2503-0000104,2025-09-25 16:12:49,Sharon School,ACTIVE
ABD-2503-0002590,BBD-2503-0000104,2025-09-25 16:12:49,Sharon School,ACTIVE
ABD-2503-0002631,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002632,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002633,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002634,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002635,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002636,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002637,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002638,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002639,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002640,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002641,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002642,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002643,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002644,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002645,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002646,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002647,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002648,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002649,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002650,BBD-2503-0000106,2025-10-31 18:07:28,Apex Vouchers,ACTIVE
ABD-2503-0002661,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002664,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002665,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002666,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002669,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002673,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002674,BBD-2503-0000107,2025-11-07 18:56:51,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002701,BBD-2503-0000109,2025-12-04 19:14:46,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002702,BBD-2503-0000109,2025-12-04 19:14:46,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002703,BBD-2503-0000109,2025-12-04 19:14:46,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002704,BBD-2503-0000109,2025-12-04 19:14:46,Synergy Harare Car Rental,ACTIVE
ABD-2503-0002705,BBD-2503-0000109,2025-12-04 19:14:46,Synergy Harare Car Rental,ACTIVE
