created_at_local,product,amount,quantity
2025-09-04 18:07:46.587662,GWE-QUARTZ 5000 20W50 5L,22,1.0
2025-09-04 18:17:52.242531,RM-RUBIA TIR 7400 15W40 500ML,12,4.0
2025-09-04 18:38:45.571352,RUN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-04 19:45:06.257179,TRO-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-04 19:45:39.722398,TRO-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-04 19:46:13.839642,TRO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-04 19:46:59.924176,TUR-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-04 20:15:12.800982,FOR-FLUIDMATIC DIII MV 500ML,30,10.0
2025-09-04 20:41:32.844935,MPO-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-04 20:43:13.410774,MPO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-04 20:45:03.526792,MPO-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-04 21:06:54.620202,CHI-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-04 21:20:28.911303,CHA-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-05 04:22:13.872862,GWE-QUARTZ 5000 20W50 500ML,9,3.0
2025-09-05 09:23:07.739969,CRI-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-05 09:55:47.182217,KAD-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-05 13:29:09.307530,KAD-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-05 14:25:36.792325,BAN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-05 15:02:12.251438,KIR-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-05 15:10:34.120235,GWE-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-05 17:12:36.554141,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-07 17:42:02.991543,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-07 18:07:24.721488,KHA-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-07 18:38:43.730445,RUN-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-07 19:06:35.720861,BAN-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-07 19:12:20.238223,TRO-QUARTZ 3000 SG 20W50 500ML,3,1.0
2025-09-07 19:12:20.424403,TRO-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-07 20:11:22.679554,KHA-RUBIA SX SAE40 500ML,3,1.0
2025-09-07 21:10:45.610737,KHA-RUBIA SX SAE40 500ML,6,2.0
2025-09-07 21:13:20.681641,CRI-RUBIA TIR 7400 15W40 500ML,9,3.0
2025-09-07 21:25:12.474151,TRO-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-08 01:42:13.765257,MPO-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-08 07:57:19.149461,SAM-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-08 10:05:25.561629,RM-RUBIA TIR 7400 15W40 500ML,9,3.0
2025-09-08 10:07:39.208694,RM-RUBIA TIR 7400 15W40 500ML,9,3.0
2025-09-08 10:08:11.800833,RM-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 10:16:20.112273,RUN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 10:52:03.650539,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 11:41:23.332338,RM-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-08 12:21:18.837044,RUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-08 14:18:18.101663,KIR-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-08 14:21:28.351076,KIR-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-08 14:30:06.112469,CHA-RUBIA SX SAE40 500ML,3,1.0
2025-09-08 14:38:05.962103,RUN-RUBIA SX SAE40 500ML,6,2.0
2025-09-08 15:44:53.311880,FIF-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-08 15:45:27.061027,FIF-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-08 15:46:00.569852,FIF-QUARTZ 5000 20W50 5L,22,1.0
2025-09-08 15:46:56.360050,FIF-RUBIA SX SAE40 500ML,33,11.0
2025-09-08 16:19:33.819935,AVO-QUARTZ 4X4 15W40 500ML,6,2.0
2025-09-10 13:47:26.877281,GWE-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-10 14:29:02.357268,KAD-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-10 16:37:03.974583,TUR-RUBIA SX SAE40 500ML,6,2.0
2025-09-10 16:44:17.702903,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-10 18:12:26.438400,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-10 20:01:55.904077,AVO-QUARTZ 9000 SAE 5W40 500ML,15,3.0
2025-09-10 21:14:35.778238,KHA-RUBIA SX SAE40 500ML,3,1.0
2025-09-11 00:53:40.587584,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
