sale_date,site_id,site_name,product,total_litres,total_amount
2024-05-19,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,90.0,135.9
2024-04-22,MSASA,MSASA,PETROL,22.88,202157.78
2024-03-14,MUTARE GREEN MARKET,MUTARE GREEN MARKET,MUTARE GREENMARKET USD DIESEL,31.84,48.98
2025-10-08,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,328.75,501.84
2024-11-04,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,2.0,2.98
2024-10-25,SEKE,SEKE,SEKE USD PETROL,20.27,29.6
2024-08-19,KIRKMAN,KIRKMAN,KIRKMAN BULK DIESEL USD,138.62,200.1
2023-08-21,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,63.66,98.91
2025-08-16,R MUGABE,R MUGABE,R MUGABE USD PETROL,52.6,79.04
2025-09-21,MARONDERA,MARONDERA,MARONDERA USD PETROL,71.86,107.21
2025-10-24,MARONDERA,MARONDERA,MARONDERA USD PETROL,81.18,121.5
2023-10-14,FORT STREET,FORT STREET,FORT USD PETROL,203.16,320.74
2024-05-02,R MUGABE,R MUGABE,R MUGABE USD DIESEL,25.97,38.5
2025-01-30,SEKE,SEKE,SEKE USD DIESEL,245.89,357.7
2024-04-29,CHARTER,CHARTER,CHARTER USD UNLEADED PETROL,3.06,4.89
2024-07-28,FIFE STREET,FIFE STREET,FIFE USD PETROL,629.35,930.92
2025-10-19,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,80.39,122.4
2024-10-30,SEKE,SEKE,SEKE USD PETROL,27.02,39.96
2025-07-29,ROADPORT,ROADPORT,ROAPORT USD PETROL,42.49,64.26
2024-02-04,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,6.71,8.94
2024-04-27,FIFE STREET,FIFE STREET,FIFE USD PETROL,404.45,634.28
2024-03-22,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,45.91,71.55
2023-06-28,RUNIVILLE,RUNIVILLE,PETROL,230.66,970687.4
2024-07-31,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,40.54,59.2
2023-12-01,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,201.17,304.0
