sale_date,service_station_id,service_station_name,product,total_litres,total_amount,avg_price
2025-01-18,,,,,16499.0,
2025-01-18,82.0,Runiville,DIESEL LITRES,90.0,90.0,1.0
2025-01-18,82.0,Runiville,PETROL LITRES,77.03,77.03,1.0
2025-01-18,82.0,Runiville,RUNIVILLE USD DIESEL,1492.221477,2213.5938,1.48
2025-01-18,82.0,Runiville,RUNIVILLE USD PETROL,747.682432,1103.5089,1.4777272727
2025-01-18,84.0,Avondale,AVONDALE USD DIESEL,1415.86928,2133.9815,1.51
2025-01-18,84.0,Avondale,AVONDALE USD PETROL,1607.52027,2351.0683,1.4645098039
2025-01-18,84.0,Avondale,DIESEL LITRES,315.02,315.02,1.0
2025-01-18,84.0,Avondale,PETROL LITRES,90.0,90.0,1.0
2025-01-18,86.0,Charter,CHARTER USD DIESEL,292.260274,421.1863,1.435
2025-01-18,86.0,Charter,CHARTER USD PETROL,254.827587,369.25,1.4416666667
2025-01-18,88.0,Seke,SEKE USD DIESEL,428.561644,610.6319,1.4166666667
2025-01-18,88.0,Seke,SEKE USD PETROL,124.506849,178.2094,1.44
2025-01-18,92.0,Msasa,DIESEL LITRES,335.0,335.0,1.0
2025-01-18,92.0,Msasa,MSASA USD DIESEL,691.09396,1008.1654,1.462
2025-01-18,92.0,Msasa,MSASA USD PETROL,336.898648,493.9161,1.4716666667
2025-01-18,92.0,Msasa,PETROL LITRES,30.0,30.0,1.0
2025-01-18,96.0,Samora,DIESEL LITRES,10.0,10.0,1.0
2025-01-18,96.0,Samora,PETROL LITRES,73.65,73.65,1.0
2025-01-18,96.0,Samora,SAMORA USD DIESEL,426.535947,651.9464,1.5277777778
2025-01-18,96.0,Samora,SAMORA USD PETROL,141.060812,206.4805,1.4657142857
2025-01-18,98.0,Roadport,DIESEL LITRES,76.0,76.0,1.0
2025-01-18,98.0,Roadport,PETROL LITRES,40.0,40.0,1.0
2025-01-18,98.0,Roadport,ROADPORT USD DIESEL,850.617451,1258.624,1.4811764706
2025-01-18,98.0,Roadport,ROAPORT USD PETROL,570.858109,841.3558,1.4728571429
2025-01-18,102.0,Kirkman,DIESEL LITRES,1020.0,1020.0,1.0
2025-01-18,102.0,Kirkman,KIRKMAN USD DIESEL,494.103449,705.3541,1.433
2025-01-18,102.0,Kirkman,KIRKMAN USD PETROL,227.567567,334.4351,1.47
2025-01-18,102.0,Kirkman,PETROL LITRES,78.9,78.9,1.0
2025-01-18,110.0,Mutare Green Market,DIESEL LITRES,100.0,100.0,1.0
2025-01-18,110.0,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,331.549296,463.8,1.4033333333
2025-01-18,112.0,Marondera,DIESEL LITRES,40.0,40.0,1.0
