sale_date,site_id,site_name,product,total_litres,total_amount,avg_price
2025-01-25,102,Kirkman,KIRKMAN BULK DIESEL USD,277.46478873239437,394.0,142.0
2025-01-25,102,Kirkman,KIRKMAN USD DIESEL,1052.4137931034484,1526.0,145.0
2025-01-25,102,Kirkman,KIRKMAN USD PETROL,1128.378378378378,1670.0,148.0
2025-01-25,102,Kirkman,KIR-QUARTZ 5000 20W50 500ML,4.0,12.0,300.0
2025-01-25,110,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,985.2112676056338,1399.0,142.0
2025-01-25,110,Mutare Green Market,MUTARE GREENMARKET USD PETROL,1720.6338028169016,2443.29,142.0
2025-01-25,112,Marondera, MARONDERA PETROL TAXIS,1619.718309859155,2300.0,142.0
2025-01-25,112,Marondera,MARONDERA USD DIESEL,27.77777777777778,40.0,144.0
2025-01-25,112,Marondera,MARONDERA USD PETROL,20.833333333333336,30.0,144.0
2025-01-25,114,Kadoma,KADOMA USD BULK DIESEL ,2444.055944055944,3495.0,143.0
2025-01-25,114,Kadoma,KADOMA USD DIESEL,789.655172413793,1145.0,145.0
2025-01-25,114,Kadoma,KADOMA USD PETROL,1414.5833333333335,2037.0,144.0
2025-01-25,121,Gweru,GWERU BULK DIESEL USD,1030.0,1503.79,146.0
2025-01-25,121,Gweru,GWERU USD DIESEL,704.8297315436242,1050.19,149.0
2025-01-25,121,Gweru,GWERU USD PETROL,1796.0673825503359,2676.14,149.0
2025-01-25,123,Fife Street,FIFE USD DIESEL,379.1946308724833,565.0,149.0
2025-01-25,123,Fife Street,FIFE USD PETROL,1069.5945945945946,1583.0,148.0
2025-01-25,125,Fort Street,FORT STR BULK DIESEL USD,200.0,294.0,147.0
2025-01-25,125,Fort Street,FORT USD DIESEL,374.3421052631579,569.0,152.0
2025-01-25,125,Fort Street,FORT USD PETROL,298.0,447.0,150.0
2025-01-25,127,Mpopoma,MPOPOMA BULK DIESEL USD,1630.0408163265304,2396.16,147.0
2025-01-25,127,Mpopoma,MPOPOMA USD DIESEL,396.7105263157894,603.0,152.0
2025-01-25,127,Mpopoma,MPOPOMA USD PETROL,500.0,750.0,150.0
