date,company_name,diesel_usd_amount,diesel_usd_litres,diesel_litres_amount,diesel_litres_litres,petrol_usd_amount,petrol_usd_litres,petrol_litres_amount,petrol_litres_litres
2025-01-16,Aarzoo Trading Private Limited,0.0,0.0,0.0,0.0,53.0,35.333333,0.0,0.0
2025-01-16,Afritractors Zimbabwe,50.6,33.071895,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Amcotts Trading Pty Ltd,0.0,0.0,544.89,544.89,0.0,0.0,83.21,83.21
2025-01-16,Applied Energy Solutions Pvt Ltd,0.0,0.0,0.0,0.0,20.02,13.527027,0.0,0.0
2025-01-16,Arundel Hospital,96.4,64.697987,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Askeland Media,80.4,52.894737,0.0,0.0,15.0,10.0,0.0,0.0
2025-01-16,Avondale Holdings (private) Limited,202.58,132.405229,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Bambanhasi (pvt) Ltd,0.0,0.0,0.0,0.0,10.0,6.756757,0.0,0.0
2025-01-16,Barker Mcccormac,59.6,40.0,0.0,0.0,122.98,83.094595,0.0,0.0
2025-01-16,Beangie Investments (Pvt),463.0,320.0,0.0,0.0,37.01,25.006757,0.0,0.0
2025-01-16,Bp Global Solutions Zim P/l,990.0,667.32555,0.0,0.0,56.0,37.837838,0.0,0.0
2025-01-16,Brands Africa Private Limited,0.0,0.0,0.0,0.0,20.0,13.513514,0.0,0.0
2025-01-16,Bridging Gaps Foundation,695.68,460.070477,0.0,0.0,150.8,102.027027,0.0,0.0
2025-01-16,Cangrow Trading (ptv) Ltd,178.17,116.45098,0.0,0.0,118.77,80.013333,0.0,0.0
2025-01-16,Car Guard Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Cardence Investments T/A The battery warehouse) ,116.0,78.911565,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Cbz Agro-yield (private) Limited,0.0,0.0,277.39,277.39,0.0,0.0,0.0,0.0
2025-01-16,Cedar,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0
2025-01-16,Cheese Galore T/a The Cheeseman,26.43,17.388158,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Cheetah Express Logistics,629.6,422.818792,0.0,0.0,296.72,201.237239,0.0,0.0
2025-01-16,Cid Highlands,0.0,0.0,0.0,0.0,12.0,8.108108,0.0,0.0
2025-01-16,"City Glass, a Division of Metal Industries Limited",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,City Of Gweru,761.25,525.0,0.0,0.0,107.25,75.0,0.0,0.0
2025-01-16,Commercial Farmers' Union,0.0,0.0,0.0,0.0,41.99,28.371622,0.0,0.0
2025-01-16,Compusign,0.0,0.0,0.0,0.0,75.45,50.97973,0.0,0.0
2025-01-16,Corporate24,30.4,20.0,0.0,0.0,55.02,37.040541,0.0,0.0
2025-01-16,Cpg T/a Agrifoods,0.0,0.0,0.0,0.0,7.5,5.0,0.0,0.0
2025-01-16,Cropserve (pvt) Ltd T/a Cropserve Technology,42.9,28.223684,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Cuthotels,59.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Danzim Enterprises,90.0,60.402685,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Davis Granite (Gweru),0.0,0.0,0.0,0.0,28.6,20.0,0.0,0.0
2025-01-16,Decent Transporters (pvt) Ltd,204.53,134.559211,0.0,0.0,7.0,4.666667,0.0,0.0
2025-01-16,Delta Resources,20.0,13.422819,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Dershon Investments,44.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Du-genre Inv T/a Mms Rewind,114.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Duelof T/a Fams,320.0,217.276172,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Eaglewise Generators,430.4,292.041976,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Eaglewise Investments ,68.0,46.327112,0.0,0.0,205.0,139.841204,0.0,0.0
2025-01-16,Eaglewise Operations ,223.3,149.865772,0.0,0.0,352.87,237.549368,0.0,0.0
2025-01-16,Ensenada Services T/a Irrigation Supply & Maintenance,41.0,27.516779,0.0,0.0,25.12,16.972973,0.0,0.0
2025-01-16,Eskill Trading (pvt) Ltd,0.0,0.0,0.0,0.0,14.15,9.560811,0.0,0.0
2025-01-16,Exodus,1002.7842,711.194444,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Fe-tatmif T\a Greens Supermarket,0.0,0.0,0.0,0.0,120.0,79.999999,0.0,0.0
2025-01-16,Ferts Seeds and Grain (PVT) LTD,0.0,0.0,51.72,51.72,0.0,0.0,129.19,129.19
2025-01-16,Flowell Farming T/a Fairhill Farm,44.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Fossil Contracting,0.0,0.0,123.64,123.64,0.0,0.0,130.0,130.0
2025-01-16,Freda Rebecca Gold Mine,0.0,0.0,0.0,0.0,105.02,70.689189,0.0,0.0
2025-01-16,Gabriel Real Estate (pvt) Ltd,0.0,0.0,0.0,0.0,16.55,11.182432,0.0,0.0
2025-01-16,Gateway School Trust,256.1242,171.895425,0.0,0.0,140.3027,97.432432,0.0,0.0
2025-01-16,Graniteside Chemicals,99.0,67.346939,0.0,0.0,128.01,87.10274,0.0,0.0
2025-01-16,Graniteside Chemicals - Bulk,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
2025-01-16,Green Fuel Private Limited,60.8,39.480519,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Greencore Kurima Center,134.45,90.234899,0.0,0.0,68.22,46.094594,0.0,0.0
2025-01-16,Guard Alert Pvt Ltd,163.9,110.0,0.0,0.0,7.4,5.0,0.0,0.0
2025-01-16,Halsted Brothers (gweru),0.0,0.0,0.0,0.0,65.5497,45.838926,0.0,0.0
2025-01-16,Harare City Centre Adventist Church,22.35,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Heisten Enterprices,1554.01,1027.388796,0.0,0.0,353.4,239.768499,0.0,0.0
2025-01-16,Heritage Tobacco Handlers pvt,0.0,0.0,0.0,0.0,15.0,10.135135,0.0,0.0
2025-01-16,Hmc Private Limited,88.0,57.894737,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,I.d.b.z Staff,0.0,0.0,250.08,250.08,0.0,0.0,376.71,376.71
2025-01-16,Idbz Pool,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0
2025-01-16,Inamo Investments Pvt Ltd,0.0,0.0,0.0,0.0,44.6,30.135135,0.0,0.0
2025-01-16,Industrial Development Corporation,207.02,138.402684,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Infradesign Associates,90.0,62.068966,0.0,0.0,30.0,20.27027,0.0,0.0
2025-01-16,Intrans Pvt Ltd,202.0,132.894737,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Isoquant Investments(pvt) Ltd -zimoco,46.0,31.506849,0.0,0.0,151.83,102.587837,0.0,0.0
2025-01-16,It Anywhere Private Limited,0.0,0.0,0.0,0.0,20.0,13.513514,0.0,0.0
2025-01-16,Itro Engineering Company (private) Limited,0.0,0.0,0.0,0.0,30.0,20.547945,0.0,0.0
2025-01-16,Jesslay Investments (pvt) Ltd,277.2,186.040268,0.0,0.0,60.0,40.540541,0.0,0.0
2025-01-16,Jit Labels Pvt Ltd,40.25,26.30719,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Jvs Projects (pvt) Limited,88.0,59.060403,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Kdb Healthcare P/l,81.72,53.411765,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,Kingdom Blue funerals,252.7119,169.605263,0.0,0.0,504.7154,344.152792,0.0,0.0
2025-01-16,Kingkold Pvt Ltd,305.0,202.431544,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,KMS Custom Concepts,89.41,60.006711,0.0,0.0,170.17,114.97973,0.0,0.0
2025-01-16,Koala Park Pvt Ltd,0.0,0.0,0.0,0.0,335.0804,234.993244,0.0,0.0
