barcode,booklet_number,activation_date,company_name,coupon_status
ADD-2503-0000149,BDD-2503-0000006,2025-05-21 11:48:59,City Of Gweru,ACTIVE
ADD-2503-0000197,BDD-2503-0000008,2025-04-11 14:17:06,City Of Gweru,ACTIVE
ADD-2503-0000213,BDD-2503-0000009,2025-05-08 09:56:20,City Of Gweru,ACTIVE
ADD-2503-0000216,BDD-2503-0000009,2025-05-08 09:56:20,City Of Gweru,ACTIVE
ADD-2503-0000219,BDD-2503-0000009,2025-05-08 09:56:20,City Of Gweru,ACTIVE
ADD-2503-0000261,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000262,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000263,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000264,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000265,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000266,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000267,BDD-2503-0000011,2025-05-08 09:56:27,City Of Gweru,ACTIVE
ADD-2503-0000287,BDD-2503-0000012,2025-05-08 09:56:36,City Of Gweru,ACTIVE
ADD-2503-0000292,BDD-2503-0000012,2025-05-08 09:56:36,City Of Gweru,ACTIVE
ADD-2503-0000294,BDD-2503-0000012,2025-05-08 09:56:36,City Of Gweru,ACTIVE
ADD-2503-0000338,BDD-2503-0000014,2025-05-21 11:49:18,City Of Gweru,ACTIVE
ADD-2503-0000363,BDD-2503-0000015,2025-05-21 11:49:35,City Of Gweru,ACTIVE
ADD-2503-0000381,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000382,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000383,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000384,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000385,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000386,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000387,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000388,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000389,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
ADD-2503-0000390,BDD-2503-0000016,2025-05-29 09:01:14,Apex Vouchers,ACTIVE
