created_at,description,product,amount
2020-11-30 16:34:16,SALE : GRANITESIDE USD LUBRICANTS : GRANITESIDE,GRANITESIDE USD LUBRICANTS,21.0
2020-12-11 11:55:44,SALE : MUTARE SECOND USD LUBRICANTS : MUTARE SECOND STREET,MUTARE SECOND USD LUBRICANTS,220.0
2020-12-24 07:08:19,SALE : CHINHOYI USD LUBRICANTS : CHINHOYI,CHINHOYI USD LUBRICANTS,18.6
2020-12-29 09:53:25,SALE : CHINHAMO USD LUBRICANTS : CHINHAMO,CHINHAMO USD LUBRICANTS,46.8
2021-01-04 12:56:30,SALE : MSASA USD LUBRICANTS : MSASA,MSASA USD LUBRICANTS,5.0
2021-01-07 12:40:08,SALE : RUNIVILLE USD LUBRICANTS : RUNIVILLE,RUNIVILLE USD LUBRICANTS,3.0
2021-01-09 08:11:48,SALE : MSASA USD LUBRICANTS : MSASA,MSASA USD LUBRICANTS,22.0
2021-01-16 07:58:10,SALE : MUTARE USD LUBRICANTS : MUTARE,MUTARE USD LUBRICANTS,100.0
2021-01-21 11:05:25,SALE : AVONDALE USD LUBRICANTS : AVONDALE,AVONDALE USD LUBRICANTS,9.0
2021-01-30 14:01:31,SALE : AVONDALE USD LUBRICANTS : AVONDALE,AVONDALE USD LUBRICANTS,30.0
2021-02-13 14:28:48,SALE : RUNIVILLE USD LUBRICANTS : RUNIVILLE,RUNIVILLE USD LUBRICANTS,16.0
2021-02-14 14:59:46,SALE : KADOMA USD LUBRICANTS : KADOMA,KADOMA USD LUBRICANTS,30.0
2021-02-20 07:36:44,SALE : SAMORA USD LUBRICANTS : SAMORA,SAMORA USD LUBRICANTS,16.0
2021-03-03 16:15:10,SALE : GRANITESIDE USD LUBRICANTS : GRANITESIDE,GRANITESIDE USD LUBRICANTS,12.0
2021-03-04 07:39:32,SALE : 5W40 5LTRS : POMONA,5W40 5LTRS,36.0
2021-03-04 14:42:44,SALE : MPOPOMA USD LUBRICANTS : MPOPOMA,MPOPOMA USD LUBRICANTS,48.0
2021-03-07 12:36:09,SALE : 5W40 5LTRS : CHARTER,5W40 5LTRS,102.9
2021-03-11 13:18:27,SALE : RUNIVILLE USD LUBRICANTS : RUNIVILLE,RUNIVILLE USD LUBRICANTS,6.0
2021-03-14 17:01:37,SALE : SAE40 5LTRS : MSASA,SAE40 5LTRS,16.0
2021-03-16 09:33:42,SALE : 15W40 500ML : RUNIVILLE,15W40 500ML,3.0
