created_at,product,amount
2023-11-25 19:07:26.636329,5W40 5LTRS,2000
2023-11-29 17:11:47.126083,20W50 500ML,3100
2023-12-03 11:38:35.975622,15W40 500ML,6000
2023-12-04 22:33:02.784926,5W40 5LTRS,5200
2023-12-21 08:35:35.488796,15W40 5LTRS,900
2023-12-24 21:49:35.736120,15W40 500ML,4500
2023-12-26 18:12:49.025414,15W40 5LTRS,2000
2023-12-30 14:13:59.696024,5W40 5LTRS,3500
2023-12-31 18:41:22.594360,5W40 5LTRS,3500
2024-01-02 06:05:19.165576,20W50 500ML,2000
2024-01-06 18:36:10.812857,20W50 5LTRS,25000
2024-01-10 12:56:14.207112,15W40 500ML,2000
2024-01-10 21:52:59.467163,80W90 5LTRS,5000
2024-01-11 13:02:28.226522,20W50 5LTRS,400
2024-01-15 00:30:08.076509,15W40 500ML,3000
2024-01-15 05:34:33.408803,15W40 500ML,3100
2024-01-17 21:45:35.295232,5W40 500ML,3000
2024-01-21 07:23:20.310555,CVT 1LTR,1000
2024-01-21 13:07:57.107883,5W40 5LTRS,3500
2024-01-28 19:37:16.486360,CVT 1LTR,1000
2024-07-05 13:23:13.783021,AVO-RACE BRAKEFLUID DOT4+ 500ML,800
2024-02-04 12:46:56.850643,5W40 5LTRS,3000
2024-07-05 13:23:45.319017,AVO-QUARTZ 5000 20W50 500ML,300
2024-02-05 12:09:11.986980,5W40 5LTRS,3500
2024-02-07 11:42:34.761624,20W50 5LTRS,5000
2024-02-10 08:56:38.000089,15W40 5LTRS,1000
2024-07-05 13:39:57.585380,TRO-FLUIDMATIC CVT MV 1L,1000
2024-02-16 08:16:19.727758,15W40 5LTRS,2500
2024-02-17 19:01:24.550008,20W50 5LTRS,4000
2024-07-05 13:47:48.485364,KAD-QUARTZ 3000 SG 20W50 5L,300
2024-02-23 08:32:08.830104,15W40 5LTRS,800
2024-07-05 14:17:26.182510,SAM-QUARTZ 9000 SAE 5W40 500ML,1000
2024-07-05 21:43:58.791684,SUN-RACE BRAKEFLUID DOT4+ 500ML,400
2024-04-22 15:06:50.459350,15W40 5LTRS,2000
2024-07-05 14:40:39.101421,CHI-FLUIDMATIC DIII MV 500ML,300
2024-03-19 08:13:58.673074,20W50 500ML,4500
2024-03-23 12:13:50.007788,15W40 5LTRS,3000
2024-04-24 05:46:24.145754,20W50 500ML,2700
2024-07-05 15:33:49.383151,MGM-FLUIDMATIC CVT MV 1L,2000
2024-03-29 09:19:38.877327,15W40 500ML,350
2024-03-29 18:29:26.898545,5W40 5LTRS,200
2024-03-30 05:02:27.240603,FORT ULP USD,1000
2024-03-30 05:25:25.370382,FORT ULP USD,8900
2024-03-31 00:45:28.731202,FORT ULP USD,4000
2024-03-31 05:26:46.149152,FORT ULP USD,3700
2024-03-31 14:38:34.267923,20W50 500ML,10000
2024-04-01 05:25:20.407422,FORT ULP USD,5600
2024-04-01 18:23:53.164164,FORT ULP USD,500
2024-04-01 20:41:17.205444,FORT ULP USD,500
2024-07-05 21:54:48.358696,CHI-QUARTZ 3000 SG 20W50 500ML,300
2024-04-02 23:32:56.438768,FORT ULP USD,1900
2024-04-03 04:59:36.842352,FORT ULP USD,5000
2024-04-24 15:13:49.260775,15W40 500ML,1
2024-07-05 18:08:38.625192,MSE-FLUIDMATIC CVT MV 1L,3000
2024-07-05 18:28:42.703836,FIF-QUARTZ 5000 20W50 500ML,300
2024-07-05 18:29:45.412070,FIF-RACE BRAKEFLUID DOT4+ 500ML,400
2024-04-05 11:52:48.521950,80W90 5LTRS,2000
2024-04-06 13:39:09.911078,5W40 5LTRS,7000
2024-04-06 13:39:30.594148,DEGREASER,300
2024-04-29 17:32:59.472489,15W40 500ML,2000
2024-05-02 07:48:14.076300,GREESE,400
2024-04-08 15:24:54.302908,15W40 5LTRS,3000
2024-05-01 11:58:59.563876,15W40 5LTRS,6000
2024-04-12 15:54:32.176853,5W40 5LTRS,30000
