ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-10-29,332204.3185163976,238718.0231005937,356211.3036731576,332204.3185163976,332204.3185163976,-36357.16927646913,-36357.16927646913,-36357.16927646913,22632.803557700925,22632.803557700925,22632.803557700925,-58989.97283417006,-58989.97283417006,-58989.97283417006,0.0,0.0,0.0,295847.14923992846
2024-10-30,331532.14399033634,236773.7841389515,358835.4814484741,331532.14399033634,331532.14399033634,-32676.64721104886,-32676.64721104886,-32676.64721104886,26915.083916390362,26915.083916390362,26915.083916390362,-59591.73112743923,-59591.73112743923,-59591.73112743923,0.0,0.0,0.0,298855.49677928747
2024-10-31,330859.9694642751,230825.05818421472,351886.9279579094,330859.9694642751,330859.9694642751,-39853.311708823945,-39853.311708823945,-39853.311708823945,20257.982047235037,20257.982047235037,20257.982047235037,-60111.29375605898,-60111.29375605898,-60111.29375605898,0.0,0.0,0.0,291006.65775545116
2024-11-01,330187.7949382138,270718.780339089,395408.10400181555,330187.7949382138,330187.7949382138,-440.6883275643746,-440.6883275643746,-440.6883275643746,60095.252019357205,60095.252019357205,60095.252019357205,-60535.94034692158,-60535.94034692158,-60535.94034692158,0.0,0.0,0.0,329747.1066106494
2024-11-02,329515.6204121525,144968.1704285267,265950.15679510386,329515.6204121525,329515.6204121525,-122598.04834641279,-122598.04834641279,-122598.04834641279,-61747.462335564654,-61747.462335564654,-61747.462335564654,-60850.58601084814,-60850.58601084814,-60850.58601084814,0.0,0.0,0.0,206917.57206573972
2024-11-03,328843.4458860912,98197.97986957878,220583.80207128133,328843.4458860912,328843.4458860912,-169341.25417645264,-169341.25417645264,-169341.25417645264,-108303.20931400999,-108303.20931400999,-108303.20931400999,-61038.04486244264,-61038.04486244264,-61038.04486244264,0.0,0.0,0.0,159502.19170963857
2024-11-04,328171.27136003,246659.87173773456,367171.866744267,328171.27136003,328171.27136003,-20929.865150011872,-20929.865150011872,-20929.865150011872,40149.55010875042,40149.55010875042,40149.55010875042,-61079.415258762296,-61079.415258762296,-61079.415258762296,0.0,0.0,0.0,307241.4062100181
2024-11-05,327499.0968339687,225725.43638501194,343042.2168048923,327499.0968339687,327499.0968339687,-38321.77461328205,-38321.77461328205,-38321.77461328205,22632.80355785719,22632.80355785719,22632.80355785719,-60954.57817113924,-60954.57817113924,-60954.57817113924,0.0,0.0,0.0,289177.32222068665
2024-11-06,326826.9223079074,231136.1550232945,356622.4655669327,326826.9223079074,326826.9223079074,-33727.712233987106,-33727.712233987106,-33727.712233987106,26915.0839164258,26915.0839164258,26915.0839164258,-60642.796150412905,-60642.796150412905,-60642.796150412905,0.0,0.0,0.0,293099.2100739203
2024-11-07,326154.7477818462,226702.42340703311,349354.7641436728,326154.7477818462,326154.7477818462,-39865.414676424894,-39865.414676424894,-39865.414676424894,20257.982047312547,20257.982047312547,20257.982047312547,-60123.396723737445,-60123.396723737445,-60123.396723737445,0.0,0.0,0.0,286289.33310542133
2024-11-08,325482.57325578487,260989.65788982317,385519.7623576053,325482.57325578487,325482.57325578487,718.7311382408627,718.7311382408627,718.7311382408627,60095.25201953566,60095.25201953566,60095.25201953566,-59376.520881294804,-59376.520881294804,-59376.520881294804,0.0,0.0,0.0,326201.3043940257
2024-11-09,324810.3987767574,143320.14370936935,267628.3963513749,324810.3987767574,324810.3987767574,-120131.37700704092,-120131.37700704092,-120131.37700704092,-61747.46233560625,-61747.46233560625,-61747.46233560625,-58383.91467143467,-58383.91467143467,-58383.91467143467,0.0,0.0,0.0,204679.0217697165
2024-11-10,324138.22429773,96569.13955409564,220368.58500722065,324138.22429773,324138.22429773,-165432.94922101128,-165432.94922101128,-165432.94922101128,-108303.20931416377,-108303.20931416377,-108303.20931416377,-57129.73990684753,-57129.73990684753,-57129.73990684753,0.0,0.0,0.0,158705.27507671874
2024-11-11,323466.04981870257,248663.7888539371,369907.5869390442,323466.04981870257,323466.04981870257,-15451.828548374677,-15451.828548374677,-15451.828548374677,40149.5501084241,40149.5501084241,40149.5501084241,-55601.37865679878,-55601.37865679878,-55601.37865679878,0.0,0.0,0.0,308014.22127032786
2024-11-12,322793.87533967505,230938.5887906586,353507.57538411795,322793.87533967505,322793.87533967505,-31157.40204991187,-31157.40204991187,-31157.40204991187,22632.803557794996,22632.803557794996,22632.803557794996,-53790.20560770687,-53790.20560770687,-53790.20560770687,0.0,0.0,0.0,291636.4732897632
2024-11-13,322121.70086064766,236645.87131078087,359600.00891525985,322121.70086064766,322121.70086064766,-24777.21862521092,-24777.21862521092,-24777.21862521092,26915.08391646123,26915.08391646123,26915.08391646123,-51692.30254167216,-51692.30254167216,-51692.30254167216,0.0,0.0,0.0,297344.48223543674
2024-11-14,321449.5263816202,236103.52148695197,351797.37984011084,321449.5263816202,321449.5263816202,-29051.10806611462,-29051.10806611462,-29051.10806611462,20257.982047256257,20257.982047256257,20257.982047256257,-49309.090113370876,-49309.090113370876,-49309.090113370876,0.0,0.0,0.0,292398.4183155056
2024-11-15,320777.35190259275,275528.81258462864,392839.4627649803,320777.35190259275,320777.35190259275,13447.398238021811,13447.398238021811,13447.398238021811,60095.252019445645,60095.252019445645,60095.252019445645,-46647.85378142383,-46647.85378142383,-46647.85378142383,0.0,0.0,0.0,334224.7501406146
2024-11-16,320105.1774235653,149433.2992355408,274191.8059734434,320105.1774235653,320105.1774235653,-105469.6054678874,-105469.6054678874,-105469.6054678874,-61747.462335369826,-61747.462335369826,-61747.462335369826,-43722.14313251757,-43722.14313251757,-43722.14313251757,0.0,0.0,0.0,214635.57195567788
2024-11-17,319433.0029445379,109253.74119697993,232248.7971405175,319433.0029445379,319433.0029445379,-148855.2361777057,-148855.2361777057,-148855.2361777057,-108303.20931398497,-108303.20931398497,-108303.20931398497,-40552.026863720734,-40552.026863720734,-40552.026863720734,0.0,0.0,0.0,170577.7667668322
2024-11-18,318760.82847999135,265258.98122777557,385082.3366780148,318760.82847999135,318760.82847999135,2985.360824728457,2985.360824728457,2985.360824728457,40149.55010852618,40149.55010852618,40149.55010852618,-37164.18928379772,-37164.18928379772,-37164.18928379772,0.0,0.0,0.0,321746.1893047198
2024-11-19,318088.6540154448,243122.31436272955,368276.00962190836,318088.6540154448,318088.6540154448,-10959.05470370677,-10959.05470370677,-10959.05470370677,22632.80355778492,22632.80355778492,22632.80355778492,-33591.85826149169,-33591.85826149169,-33591.85826149169,0.0,0.0,0.0,307129.59931173804
2024-11-20,317416.47955089825,250643.6015264374,374672.9068457221,317416.47955089825,317416.47955089825,-2959.475063153204,-2959.475063153204,-2959.475063153204,26915.08391643688,26915.08391643688,26915.08391643688,-29874.558979590085,-29874.558979590085,-29874.558979590085,0.0,0.0,0.0,314457.00448774506
2024-11-21,316744.3050863517,249503.01840865792,372013.5228866589,316744.3050863517,316744.3050863517,-5799.710480448155,-5799.710480448155,-5799.710480448155,20257.982047467576,20257.982047467576,20257.982047467576,-26057.692527915733,-26057.692527915733,-26057.692527915733,0.0,0.0,0.0,310944.59460590355
2024-11-22,316072.13062180515,288886.46439376724,417090.2282659672,316072.13062180515,316072.13062180515,37903.30886081722,37903.30886081722,37903.30886081722,60095.25201935562,60095.25201935562,60095.25201935562,-22191.9431585384,-22191.9431585384,-22191.9431585384,0.0,0.0,0.0,353975.4394826224
2024-11-23,315399.9561572586,181097.42878164284,294525.39190267236,315399.9561572586,315399.9561572586,-80079.98513635484,-80079.98513635484,-80079.98513635484,-61747.46233521851,-61747.46233521851,-61747.46233521851,-18332.522801136332,-18332.522801136332,-18332.522801136332,0.0,0.0,0.0,235319.97102090376
2024-11-24,314727.78169271204,137970.85989718026,252326.45914291282,314727.78169271204,314727.78169271204,-122841.47537758648,-122841.47537758648,-122841.47537758648,-108303.20931380619,-108303.20931380619,-108303.20931380619,-14538.266063780287,-14538.266063780287,-14538.266063780287,0.0,0.0,0.0,191886.30631512555
2024-11-25,314055.6072281655,282036.7804090749,404750.0650793959,314055.6072281655,314055.6072281655,29278.956814478468,29278.956814478468,29278.956814478468,40149.550108628275,40149.550108628275,40149.550108628275,-10870.593294149805,-10870.593294149805,-10870.593294149805,0.0,0.0,0.0,343334.56404264393
2024-11-26,313383.43276361894,272027.64538971026,387109.37727417116,313383.43276361894,313383.43276361894,15240.440328975217,15240.440328975217,15240.440328975217,22632.803557748786,22632.803557748786,22632.803557748786,-7392.363228773567,-7392.363228773567,-7392.363228773567,0.0,0.0,0.0,328623.87309259415
2024-11-27,312711.2582990724,275923.21712976834,391334.1015679064,312711.2582990724,312711.2582990724,22748.443717762817,22748.443717762817,22748.443717762817,26915.08391653151,26915.08391653151,26915.08391653151,-4166.640198768694,-4166.640198768694,-4166.640198768694,0.0,0.0,0.0,335459.7020168352
2024-11-28,312039.0838022285,265099.27776665206,389484.6313868414,312039.0838022285,312039.0838022285,19002.578354700825,19002.578354700825,19002.578354700825,20257.982047411282,20257.982047411282,20257.982047411282,-1255.4036927104578,-1255.4036927104578,-1255.4036927104578,0.0,0.0,0.0,331041.6621569293
2024-11-29,311366.9093053846,316948.20475179807,431030.4333550286,311366.9093053846,311366.9093053846,61377.02180142802,61377.02180142802,61377.02180142802,60095.2520192656,60095.2520192656,60095.2520192656,1281.7697821624192,1281.7697821624192,1281.7697821624192,0.0,0.0,0.0,372743.9311068126
2024-11-30,310694.7348085408,191824.8920115497,311369.0836848387,310694.7348085408,310694.7348085408,-58358.44112027396,-58358.44112027396,-58358.44112027396,-61747.462335453005,-61747.462335453005,-61747.462335453005,3389.0212151790474,3389.0212151790474,3389.0212151790474,0.0,0.0,0.0,252336.29368826683
2024-12-01,310022.56031169684,146429.0496666521,268847.65804053535,310022.56031169684,310022.56031169684,-103287.72123928969,-103287.72123928969,-103287.72123928969,-108303.20931379369,-108303.20931379369,-108303.20931379369,5015.488074503991,5015.488074503991,5015.488074503991,0.0,0.0,0.0,206734.83907240717
