date,service_station,product,closing_stock_litres
2025-10-09,Head Office,PETROL,1.0
2025-10-08,Head Office,PETROTRADE DIESEL,1.0
2025-10-08,Head Office,PETROTRADE PETROL,1.0
2025-08-14,Khami,PETROL,7808.0
2025-08-09,Samora,DIESEL,3100.0
2025-08-09,Samora,PETROL,4200.0
2025-08-08,Samora,DIESEL,4900.0
2025-08-08,Samora,PETROL,7100.0
2025-08-03,Samora,DIESEL,5200.0
2025-08-03,Samora,PETROL,9600.0
2025-08-02,Samora,DIESEL,6100.0
2025-08-02,Samora,PETROL,11600.0
2025-08-01,Samora,DIESEL,6800.0
2025-08-01,Samora,PETROL,14500.0
2025-07-31,Samora,DIESEL,7400.0
2025-07-31,Samora,PETROL,8800.0
2025-07-30,Samora,DIESEL,7900.0
2025-07-30,Samora,PETROL,10600.0
2025-07-29,Samora,DIESEL,2400.0
2025-07-29,Samora,PETROL,4700.0
2025-07-28,Samora,DIESEL,2900.0
2025-07-28,Samora,PETROL,6500.0
2025-07-27,Samora,DIESEL,3400.0
2025-07-27,Samora,PETROL,8000.0
2025-07-26,Samora,DIESEL,3800.0
2025-07-26,Samora,PETROL,3300.0
2025-07-25,Samora,DIESEL,4500.0
2025-07-25,Samora,PETROL,5600.0
2025-07-24,Samora,DIESEL,5200.0
2025-07-24,Samora,PETROL,7600.0
2025-07-21,Samora,DIESEL,2800.0
2025-07-21,Samora,PETROL,13300.0
2025-07-20,Samora,DIESEL,3100.0
2025-07-20,Samora,PETROL,7000.0
2025-07-19,Samora,DIESEL,3700.0
2025-07-19,Samora,PETROL,9100.0
2025-07-18,Samora,DIESEL,4600.0
2025-07-18,Samora,PETROL,11700.0
2025-07-17,Samora,DIESEL,5200.0
2025-07-17,Samora,PETROL,13700.0
2025-07-16,Samora,DIESEL,6000.0
2025-07-16,Samora,PETROL,15800.0
2025-07-15,Khami,DIESEL,9620.0
2025-07-15,Khami,PETROL,17569.0
2025-07-15,Samora,DIESEL,1600.0
2025-07-15,Samora,PETROL,9644.0
2025-07-14,Khami,DIESEL,1691.0
2025-07-14,Khami,PETROL,18362.0
2025-07-14,Samora,DIESEL,2200.0
2025-07-14,Samora,PETROL,12000.0
2025-07-13,Khami,DIESEL,3227.0
2025-07-13,Khami,PETROL,19098.0
2025-07-13,Samora,DIESEL,2900.0
2025-07-13,Samora,PETROL,14000.0
2025-07-12,Khami,DIESEL,5279.0
2025-07-12,Khami,PETROL,13407.0
2025-07-12,Samora,DIESEL,3700.0
2025-07-12,Samora,PETROL,8800.0
2025-07-11,Khami,DIESEL,7493.0
2025-07-11,Khami,PETROL,14117.0
2025-07-11,Samora,DIESEL,4700.0
2025-07-11,Samora,PETROL,5400.0
2025-07-10,Khami,DIESEL,10422.0
2025-07-10,Khami,PETROL,14974.0
2025-07-10,Samora,DIESEL,5300.0
2025-07-10,Samora,PETROL,7600.0
2025-07-09,Khami,DIESEL,12903.0
2025-07-09,Khami,PETROL,15922.0
2025-07-09,Samora,DIESEL,6100.0
2025-07-09,Samora,PETROL,10100.0
2025-07-08,Khami,DIESEL,15832.0
2025-07-08,Khami,PETROL,9780.0
2025-07-07,Khami,DIESEL,19352.0
2025-07-07,Khami,PETROL,10758.0
2025-07-06,Khami,DIESEL,20749.0
2025-07-06,Khami,PETROL,11627.0
2025-07-05,Fort Street,DIESEL,20957.0
2025-07-05,Fort Street,PETROL,5798.0
2025-07-04,Khami,DIESEL,24441.0
2025-07-04,Khami,PETROL,7296.0
2025-07-03,Khami,DIESEL,27132.0
2025-07-03,Khami,PETROL,8063.0
2025-07-03,Samora,DIESEL,5100.0
2025-07-03,Samora,PETROL,10400.0
2025-07-02,Khami,DIESEL,17262.0
2025-07-02,Khami,PETROL,8928.0
2025-07-02,Samora,DIESEL,5900.0
2025-07-02,Samora,PETROL,5500.0
2025-07-01,Khami,DIESEL,19432.0
2025-07-01,Khami,PETROL,9826.0
2025-07-01,Samora,DIESEL,6800.0
2025-07-01,Samora,PETROL,7700.0
2025-06-30,Khami,DIESEL,16613.0
2025-06-30,Khami,PETROL,11118.0
2025-06-30,Samora,DIESEL,7400.0
2025-06-30,Samora,PETROL,10000.0
2025-06-29,Khami,DIESEL,18020.0
2025-06-29,Khami,PETROL,12094.0
2025-06-29,Samora,DIESEL,7900.0
2025-06-29,Samora,PETROL,11800.0
2025-06-28,Khami,DIESEL,7555.0
2025-06-28,Khami,PETROL,13282.0
2025-06-28,Samora,DIESEL,8400.0
2025-06-28,Samora,PETROL,8900.0
2025-06-27,Khami,DIESEL,10082.0
2025-06-27,Khami,PETROL,14534.0
2025-06-27,Samora,DIESEL,9600.0
2025-06-27,Samora,PETROL,11500.0
2025-06-26,Khami,DIESEL,12643.0
2025-06-26,Khami,PETROL,8246.0
2025-06-26,Samora,DIESEL,3000.0
2025-06-26,Samora,PETROL,7300.0
2025-06-25,Khami,DIESEL,8360.0
2025-06-25,Khami,PETROL,9107.0
2025-06-25,Samora,DIESEL,3737.0
2025-06-25,Samora,PETROL,9467.0
2025-06-24,Khami,DIESEL,10179.0
2025-06-24,Khami,PETROL,10046.0
2025-06-24,Samora,DIESEL,4600.0
2025-06-24,Samora,PETROL,5900.0
2025-06-23,Khami,DIESEL,6373.0
2025-06-23,Khami,PETROL,11009.0
2025-06-22,Khami,DIESEL,7077.0
2025-06-22,Khami,PETROL,11665.0
2025-06-21,Khami,DIESEL,8612.0
2025-06-21,Khami,PETROL,12509.0
2025-06-20,Khami,DIESEL,5659.0
2025-06-20,Khami,PETROL,12823.0
2025-06-20,Samora,DIESEL,7600.0
2025-06-20,Samora,PETROL,6500.0
2025-06-19,Khami,DIESEL,644.0
2025-06-19,Khami,PETROL,13674.0
2025-06-19,Samora,DIESEL,1784.0
2025-06-19,Samora,PETROL,8300.0
2025-06-18,Khami,DIESEL,2474.0
2025-06-18,Khami,PETROL,7039.0
2025-06-18,Samora,DIESEL,2500.0
2025-06-18,Samora,PETROL,10300.0
2025-06-17,Khami,DIESEL,5931.0
2025-06-17,Khami,PETROL,8054.0
2025-06-17,Samora,DIESEL,3400.0
2025-06-17,Samora,PETROL,5100.0
2025-06-16,Khami,DIESEL,8998.0
2025-06-16,Khami,PETROL,8925.0
2025-06-16,Samora,DIESEL,4300.0
2025-06-16,Samora,PETROL,7200.0
2025-06-15,Khami,DIESEL,10666.0
2025-06-15,Khami,PETROL,9459.0
2025-06-15,Samora,DIESEL,5033.0
2025-06-15,Samora,PETROL,8600.0
2025-06-14,Khami,DIESEL,12766.0
2025-06-14,Khami,PETROL,10330.0
2025-06-14,Samora,DIESEL,5600.0
2025-06-14,Samora,PETROL,11200.0
2025-06-13,Khami,DIESEL,9928.0
2025-06-13,Khami,PETROL,11135.0
2025-06-13,Samora,DIESEL,6600.0
2025-06-13,Samora,PETROL,9300.0
2025-06-12,Khami,DIESEL,11779.0
2025-06-12,Khami,PETROL,11609.0
2025-06-12,Samora,DIESEL,7900.0
2025-06-12,Samora,PETROL,5100.0
2025-06-11,Khami,DIESEL,7394.0
2025-06-11,Khami,PETROL,6450.0
2025-06-11,Samora,DIESEL,8700.0
2025-06-11,Samora,PETROL,7000.0
2025-06-10,Khami,DIESEL,9223.0
2025-06-10,Khami,PETROL,7293.0
2025-06-10,Samora,DIESEL,4300.0
2025-06-10,Samora,PETROL,2700.0
2025-06-09,Khami,DIESEL,12560.0
2025-06-09,Khami,PETROL,8039.0
2025-06-09,Samora,DIESEL,4900.0
2025-06-09,Samora,PETROL,4800.0
2025-06-08,Khami,DIESEL,8349.0
2025-06-08,Khami,PETROL,8631.0
2025-06-08,Samora,DIESEL,5600.0
2025-06-08,Samora,PETROL,6300.0
2025-06-07,Khami,DIESEL,10292.0
2025-06-07,Khami,PETROL,9350.0
2025-06-06,Khami,DIESEL,12999.0
2025-06-06,Khami,PETROL,10425.0
2025-06-05,Khami,DIESEL,9638.0
2025-06-05,Khami,PETROL,10953.0
2025-06-04,Khami,DIESEL,12522.0
2025-06-04,Khami,PETROL,11689.0
2025-06-03,Khami,DIESEL,7003.0
2025-06-03,Khami,PETROL,12485.0
2025-06-03,R Mugabe,PETROL,4511.0
2025-06-02,Khami,DIESEL,9577.0
2025-06-02,Khami,PETROL,13813.0
2025-06-02,Samora,DIESEL,7200.0
2025-06-02,Samora,PETROL,6000.0
2025-06-01,Khami,DIESEL,11183.0
2025-06-01,Khami,PETROL,7530.0
2025-06-01,Samora,DIESEL,7700.0
2025-06-01,Samora,PETROL,7600.0
2025-05-31,Khami,DIESEL,5393.0
