sale_date,site_id,site_name,product,total_litres,total_amount,avg_price
2025-01-16,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,83.89,123.67,1.47
2025-01-16,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,76.69,111.0,1.45
2025-01-16,CRIPPS,CRIPPS,CRIPPS PETROL USD,126.35,186.48,1.48
2025-01-16,FIFE STREET,FIFE STREET,FIFE USD PETROL,178.0,267.0,1.5
2025-01-16,KHAMI,KHAMI,KHAMI USD DIESEL,78.94,118.56,1.5
2025-01-16,KHAMI,KHAMI,KHAMI USD PETROL,6.66,9.0,1.35
2025-01-16,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,9.33,13.5,1.45
2025-01-16,R MUGABE,R MUGABE,R MUGABE USD PETROL,70.66,105.0,1.49
2025-01-17,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,97.32,144.53,1.49
2025-01-17,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,13.51,19.24,1.42
2025-01-17,CRIPPS,CRIPPS,CRIPPS PETROL USD,72.64,106.56,1.47
2025-01-17,FIFE STREET,FIFE STREET,FIFE USD PETROL,80.0,120.0,1.5
2025-01-17,KADOMA,KADOMA,KADOMA USD PETROL,6.94,8.64,1.24
2025-01-17,KHAMI,KHAMI,KHAMI USD PETROL,159.33,238.5,1.5
2025-01-17,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,19.73,28.88,1.46
2025-01-17,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,26.67,39.0,1.46
2025-01-17,R MUGABE,R MUGABE,R MUGABE USD PETROL,89.09,133.5,1.5
2025-01-18,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,69.95,103.5,1.48
2025-01-18,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,48.27,69.6,1.44
2025-01-18,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,33.54,49.17,1.47
2025-01-18,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,52.7,76.96,1.46
2025-01-18,FIFE STREET,FIFE STREET,FIFE USD PETROL,104.72,156.0,1.49
2025-01-18,KHAMI,KHAMI,KHAMI USD DIESEL,30.26,45.6,1.51
2025-01-18,KHAMI,KHAMI,KHAMI USD PETROL,6.66,9.0,1.35
2025-01-18,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,173.15,262.96,1.52
2025-01-18,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,20.0,30.0,1.5
2025-01-18,R MUGABE,R MUGABE,R MUGABE USD PETROL,66.67,99.0,1.48
2025-01-19,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,40.26,59.6,1.48
